Occupation,Total_employed_2024,Women_2024,White_2024,Black_or_African_American_2024,Asian_2024,Hispanic_or_Latino_2024,Total_employed_2023,Women_2023,White_2023,Black_or_African_American_2023,Asian_2023,Hispanic_or_Latino_2023,Total_employed_2022,Women_2022,White_2022,Black_or_African_American_2022,Asian_2022,Hispanic_or_Latino_2022,Total_employed_2021,Women_2021,White_2021,Black_or_African_American_2021,Asian_2021,Hispanic_or_Latino_2021,Total_employed_2020,Women_2020,White_2020,Black_or_African_American_2020,Asian_2020,Hispanic_or_Latino_2020
"Mail clerks and mail machine operators, except postal service",45,–,–,–,–,–,44,–,–,–,–,–,53,41.5,66.4,23.2,8.8,23.3,257,78.2,69.1,25.3,1.9,19.5,236,79.2,74.8,17.5,5.7,17.3
"Office clerks, general","1,253",80.0,74.7,14.1,6.8,20.6,"1,274",81.3,76.6,13.6,6.4,20.5,"1,256",84.3,76.5,14.0,5.6,20.0,53,46.9,57.9,30.0,9.3,17.0,62,41.3,70.8,21.0,4.2,20.0
"Office machine operators, except computer",24,–,–,–,–,–,29,–,–,–,–,–,29,–,–,–,–,–,"1,249",83.6,75.7,14.3,6.4,19.0,"1,227",83.0,77.5,11.8,7.0,19.6
Proofreaders and copy markers,14,–,–,–,–,–,7,–,–,–,–,–,7,–,–,–,–,–,27,–,–,–,–,–,22,–,–,–,–,–
Statistical assistants,13,–,–,–,–,–,16,–,–,–,–,–,17,–,–,–,–,–,10,–,–,–,–,–,4,–,–,–,–,–
"Office and administrative support workers, all other",718,74.0,77.6,13.3,4.7,16.2,447,68.8,77.7,12.0,5.2,18.6,582,72.4,76.7,14.2,4.6,17.9,45,–,–,–,–,–,65,35.7,70.1,9.8,17.4,6.7
,,,,,,,,,,,,,,,,,,,639,71.6,74.4,17.0,4.9,15.1,535,75.9,74.7,16.1,5.3,15.7
"Natural resources, construction, and maintenance occupations","14,391",6.0,85.3,8.1,2.0,35.6,"14,326",5.8,86.1,7.8,1.8,34.5,"14,260",5.7,86.7,7.4,1.9,34.2,,,,,,,,,,,,
"Farming, fishing, and forestry occupations",970,27.8,88.7,4.6,1.6,44.2,987,27.1,89.7,5.1,0.9,44.6,980,26.2,89.2,4.6,1.8,44.7,"13,959",5.6,86.3,7.4,2.3,33.4,"13,357",5.6,86.7,7.5,2.1,31.1
"First-line supervisors of farming, fishing, and forestry workers",54,15.4,96.9,1.8,0.0,50.0,70,18.1,91.6,4.3,0.2,37.9,52,16.9,92.5,5.1,1.1,29.2,"1,061",24.2,88.4,4.4,2.3,43.9,"1,045",24.1,90.0,4.3,1.6,43.0
Agricultural inspectors,15,–,–,–,–,–,26,–,–,–,–,–,14,–,–,–,–,–,49,–,–,–,–,–,53,12.8,89.5,4.7,2.8,27.6
Animal breeders,8,–,–,–,–,–,15,–,–,–,–,–,9,–,–,–,–,–,10,–,–,–,–,–,14,–,–,–,–,–
"Graders and sorters, agricultural products",50,65.7,80.0,13.1,5.5,71.1,45,–,–,–,–,–,47,–,–,–,–,–,12,–,–,–,–,–,4,–,–,–,–,–
Miscellaneous agricultural workers,757,28.7,89.0,4.0,1.5,46.2,731,28.7,91.2,3.9,0.8,49.2,753,26.5,89.4,4.7,1.5,49.3,53,71.2,70.2,10.8,10.5,65.3,36,–,–,–,–,–
Fishing and hunting workers,27,–,–,–,–,–,26,–,–,–,–,–,32,–,–,–,–,–,835,23.3,89.3,3.8,2.0,46.7,834,24.4,90.5,4.2,1.0,47.2
Forest and conservation workers,11,–,–,–,–,–,16,–,–,–,–,–,15,–,–,–,–,–,31,–,–,–,–,–,35,–,–,–,–,–
Logging workers,48,–,–,–,–,–,58,1.7,94.0,3.4,0.0,13.6,57,6.5,89.8,4.2,0.0,6.3,21,–,–,–,–,–,21,–,–,–,–,–
Construction and extraction occupations,"8,520",4.3,86.1,7.5,1.5,41.6,"8,457",4.3,86.8,7.2,1.3,40.8,"8,427",4.2,87.1,7.1,1.6,40.3,51,4.0,98.2,1.1,0.0,16.4,47,–,–,–,–,–
First-line supervisors of construction trades and extraction workers,792,6.0,86.8,8.2,1.6,26.9,702,5.1,89.1,4.8,1.4,26.6,661,4.3,91.1,4.1,1.6,25.6,"8,057",3.9,87.2,7.1,1.7,38.9,"7,710",4.0,87.8,7.0,1.6,35.7
Boilermakers,15,–,–,–,–,–,13,–,–,–,–,–,15,–,–,–,–,–,650,3.8,90.2,6.2,1.0,24.2,737,3.5,89.9,5.8,1.1,25.4
"Brickmasons, blockmasons, and stonemasons",128,2.9,86.2,3.5,1.7,45.8,117,1.5,93.4,1.1,0.0,50.5,119,3.0,87.0,8.7,1.3,46.9,21,–,–,–,–,–,19,–,–,–,–,–
Carpenters,"1,279",4.2,86.5,6.6,1.2,41.4,"1,275",3.1,89.0,5.2,1.3,44.2,"1,282",3.5,88.6,5.5,1.9,41.8,97,2.2,84.0,9.6,0.0,51.7,113,0.3,86.8,8.8,1.0,44.1
"Carpet, floor, and tile installers and finishers",128,2.0,86.4,3.8,0.7,58.9,114,5.8,88.9,1.5,1.5,61.1,147,7.5,83.9,7.5,3.2,55.7,"1,230",3.1,87.7,6.3,1.6,39.3,"1,114",3.2,87.9,6.9,1.9,35.5
"Cement masons, concrete finishers, and terrazzo workers",51,1.8,90.6,2.1,0.0,58.0,56,4.7,89.4,1.9,0.0,50.5,70,1.0,87.6,7.6,0.0,52.5,156,7.7,88.8,6.2,0.2,48.2,172,3.9,93.7,2.5,1.1,53.2
Construction laborers,"2,293",3.5,87.6,6.4,1.6,53.9,"2,223",4.5,84.0,9.1,1.3,51.9,"2,227",4.9,84.9,8.4,1.9,50.7,67,0.0,88.6,6.2,0.1,53.0,55,2.8,82.9,8.4,1.3,53.3
Construction equipment operators,396,2.3,87.8,8.6,0.4,19.9,395,1.0,89.8,5.7,0.7,20.7,369,1.7,88.9,5.4,0.7,18.9,"2,165",4.5,84.8,8.1,2.6,48.9,"1,902",3.8,86.6,8.0,1.4,46.0
"Drywall installers, ceiling tile installers, and tapers",140,4.2,80.5,5.1,1.8,65.8,162,4.1,86.8,7.9,0.9,74.3,161,2.8,92.8,0.8,2.2,70.3,360,3.0,89.0,8.0,0.1,21.8,359,3.9,85.3,9.9,0.5,17.8
Electricians,992,2.9,82.8,9.2,1.8,26.2,959,2.9,87.3,6.7,1.6,24.6,918,2.2,88.5,7.3,2.0,24.9,155,3.1,89.8,3.3,0.7,72.5,165,5.8,89.2,1.0,2.8,73.1
Glaziers,30,–,–,–,–,–,39,–,–,–,–,–,32,–,–,–,–,–,845,1.7,88.3,6.7,2.6,22.9,901,3.1,87.8,7.6,1.7,23.8
Insulation workers,40,–,–,–,–,–,59,5.0,83.8,7.5,0.4,45.6,52,5.9,82.5,15.8,0.0,44.0,53,7.6,85.4,11.5,0.0,32.5,45,–,–,–,–,–
Painters and paperhangers,539,10.8,85.7,7.7,0.7,62.9,561,10.4,90.2,5.5,0.4,60.6,644,10.5,89.8,6.8,0.7,59.1,48,–,–,–,–,–,53,2.9,86.0,9.6,2.4,54.5
Pipelayers,47,–,–,–,–,–,54,1.4,84.6,7.8,0.0,49.7,52,2.4,97.0,2.3,0.0,60.2,556,8.9,88.6,7.0,1.0,59.3,524,8.3,90.0,5.4,0.6,51.2
"Plumbers, pipefitters, and steamfitters",636,3.2,84.3,10.2,2.6,32.5,635,2.2,84.7,10.1,2.2,28.3,610,1.1,83.3,8.9,2.2,28.2,37,–,–,–,–,–,49,–,–,–,–,–
Plasterers and stucco masons,25,–,–,–,–,–,21,–,–,–,–,–,23,–,–,–,–,–,587,2.1,87.2,7.1,1.5,25.7,537,2.3,88.1,6.9,1.7,24.5
Reinforcing iron and rebar workers,8,–,–,–,–,–,11,–,–,–,–,–,9,–,–,–,–,–,22,–,–,–,–,–,24,–,–,–,–,–
Roofers,240,4.1,87.6,5.8,1.2,68.2,235,4.4,88.5,5.5,0.5,63.1,208,5.0,87.7,6.9,0.0,66.5,10,–,–,–,–,–,3,–,–,–,–,–
Sheet metal workers,146,6.3,84.6,8.7,3.4,21.1,127,6.5,85.5,9.9,1.5,16.9,131,5.1,85.1,7.0,1.1,21.8,221,2.9,85.8,7.5,1.1,63.5,210,3.3,86.9,5.1,1.4,53.2
Structural iron and steel workers,35,–,–,–,–,–,42,–,–,–,–,–,66,1.1,73.3,16.5,0.0,16.1,125,3.9,89.5,4.6,0.8,19.8,123,5.6,87.3,4.5,3.2,13.4
Solar photovoltaic installers,22,–,–,–,–,–,20,–,–,–,–,–,28,–,–,–,–,–,41,–,–,–,–,–,47,–,–,–,–,–
"Helpers, construction trades",55,8.5,88.1,6.9,0.0,44.8,64,6.2,88.4,5.3,1.3,51.8,54,5.4,88.5,3.2,1.0,48.4,23,–,–,–,–,–,20,–,–,–,–,–
Construction and building inspectors,104,11.5,86.0,5.8,6.1,15.8,115,10.5,80.9,9.4,5.4,20.6,113,11.8,85.0,9.7,4.8,12.9,71,3.5,83.7,9.9,0.6,43.3,47,–,–,–,–,–
Elevator and escalator installers and repairers,29,–,–,–,–,–,46,–,–,–,–,–,43,–,–,–,–,–,103,10.0,87.6,7.3,3.5,12.3,116,11.9,88.2,3.5,4.5,12.4
Fence erectors,38,–,–,–,–,–,40,–,–,–,–,–,48,–,–,–,–,–,38,–,–,–,–,–,19,–,–,–,–,–
Hazardous materials removal workers,26,–,–,–,–,–,25,–,–,–,–,–,25,–,–,–,–,–,41,–,–,–,–,–,36,–,–,–,–,–
Highway maintenance workers,73,1.3,79.1,15.4,0.4,14.8,93,2.2,84.3,11.0,2.6,20.8,108,3.9,83.4,12.9,0.0,18.1,27,–,–,–,–,–,31,–,–,–,–,–
Rail-track laying and maintenance equipment operators,11,–,–,–,–,–,22,–,–,–,–,–,17,–,–,–,–,–,99,3.6,85.5,10.1,0.7,17.3,102,7.4,85.2,10.5,0.7,11.0
Septic tank servicers and sewer pipe cleaners,11,–,–,–,–,–,7,–,–,–,–,–,6,–,–,–,–,–,15,–,–,–,–,–,5,–,–,–,–,–
Miscellaneous construction and related workers,34,–,–,–,–,–,65,7.5,94.9,4.1,0.0,42.4,32,–,–,–,–,–,11,–,–,–,–,–,7,–,–,–,–,–
"Derrick, rotary drill, and service unit operators, oil and gas",20,–,–,–,–,–,24,–,–,–,–,–,26,–,–,–,–,–,26,–,–,–,–,–,22,–,–,–,–,–
"Excavating and loading machine and dragline operators, surface mining",4,–,–,–,–,–,10,–,–,–,–,–,3,–,–,–,–,–,21,–,–,–,–,–,22,–,–,–,–,–
"Earth drillers, except oil and gas",37,–,–,–,–,–,25,–,–,–,–,–,27,–,–,–,–,–,4,–,–,–,–,–,5,–,–,–,–,–
"Explosives workers, ordnance handling experts, and blasters",11,–,–,–,–,–,8,–,–,–,–,–,7,–,–,–,–,–,27,–,–,–,–,–,25,–,–,–,–,–
Underground mining machine operators,29,–,–,–,–,–,38,–,–,–,–,–,33,–,–,–,–,–,14,–,–,–,–,–,6,–,–,–,–,–
"Roustabouts, oil and gas",7,–,–,–,–,–,8,–,–,–,–,–,10,–,–,–,–,–,33,–,–,–,–,–,39,–,–,–,–,–
Other extraction workers,47,–,–,–,–,–,47,–,–,–,–,–,50,2.5,86.1,5.0,0.0,28.6,3,–,–,–,–,–,6,–,–,–,–,–
"Installation, maintenance, and repair occupations","4,901",4.5,83.3,9.8,2.9,23.6,"4,881",4.1,84.0,9.4,2.9,21.6,"4,853",4.2,85.7,8.5,2.4,21.6,55,0.5,80.1,15.9,0.4,30.5,50,1.9,91.8,2.3,0.4,26.1
"First-line supervisors of mechanics, installers, and repairers",272,8.0,83.0,9.7,2.8,16.4,239,7.1,90.3,5.6,1.8,15.2,245,5.3,87.6,5.4,2.0,12.0,"4,840",4.3,84.5,8.3,3.3,22.0,"4,602",4.1,84.0,9.1,3.1,20.8
"Computer, automated teller, and office machine repairers",125,9.8,76.5,13.7,6.0,13.2,134,13.8,71.5,14.7,10.8,9.3,177,10.4,73.2,16.3,6.3,15.1,222,6.0,89.1,5.8,0.7,12.3,226,9.3,85.7,7.2,2.5,12.4
Radio and telecommunications equipment installers and repairers,100,9.1,81.1,5.4,6.8,20.0,116,5.9,82.6,11.5,3.0,18.2,112,13.8,82.4,10.7,3.0,26.0,176,15.4,73.4,12.6,9.1,16.8,190,10.5,80.5,5.5,9.1,19.9
Avionics technicians,12,–,–,–,–,–,12,–,–,–,–,–,8,–,–,–,–,–,155,4.5,80.3,10.5,4.2,15.5,140,8.3,71.5,16.8,6.3,16.8
"Electric motor, power tool, and related repairers",18,–,–,–,–,–,22,–,–,–,–,–,20,–,–,–,–,–,5,–,–,–,–,–,9,–,–,–,–,–
"Electrical and electronics installers and repairers, transportation equipment",3,–,–,–,–,–,1,–,–,–,–,–,0,–,–,–,–,–,21,–,–,–,–,–,19,–,–,–,–,–
"Electrical and electronics repairers, industrial and utility",7,–,–,–,–,–,6,–,–,–,–,–,15,–,–,–,–,–,1,–,–,–,–,–,3,–,–,–,–,–
"Electronic equipment installers and repairers, motor vehicles",8,–,–,–,–,–,5,–,–,–,–,–,10,–,–,–,–,–,13,–,–,–,–,–,9,–,–,–,–,–
Audiovisual equipment installers and repairers,18,–,–,–,–,–,26,–,–,–,–,–,26,–,–,–,–,–,9,–,–,–,–,–,5,–,–,–,–,–
Security and fire alarm systems installers,70,1.2,78.2,12.2,0.6,26.9,48,–,–,–,–,–,67,5.7,87.3,8.6,3.1,30.4,22,–,–,–,–,–,29,–,–,–,–,–
Aircraft mechanics and service technicians,158,6.9,77.6,9.7,7.7,22.8,124,4.3,83.4,9.5,5.0,21.1,149,4.6,85.5,7.1,6.4,19.3,72,4.5,89.8,2.3,2.6,32.1,63,0.0,77.4,9.6,3.2,34.4
Automotive body and related repairers,128,4.9,83.5,9.2,2.2,26.3,127,6.8,85.9,9.6,1.8,21.6,151,3.7,90.6,3.6,3.5,28.9,150,3.2,89.3,5.7,4.2,15.3,153,5.4,84.3,10.8,3.2,23.0
Automotive glass installers and repairers,17,–,–,–,–,–,24,–,–,–,–,–,27,–,–,–,–,–,123,2.4,89.9,5.6,1.9,29.0,121,1.0,87.4,7.3,2.2,27.9
Automotive service technicians and mechanics,914,3.2,82.9,9.9,3.6,30.4,933,2.5,82.9,8.1,3.5,28.7,926,2.9,84.6,8.6,2.7,28.2,28,–,–,–,–,–,15,–,–,–,–,–
Bus and truck mechanics and diesel engine specialists,334,2.8,87.0,7.0,2.3,20.7,334,1.6,87.4,6.9,1.8,20.6,347,1.2,85.3,7.6,1.8,21.5,864,2.3,83.4,8.0,4.6,28.2,750,1.4,82.8,9.1,3.5,28.3
Heavy vehicle and mobile equipment service technicians and mechanics,191,1.5,94.4,3.4,0.4,13.1,201,2.3,94.7,3.7,0.2,19.3,224,1.2,92.5,4.2,0.2,17.7,362,1.2,85.2,7.1,3.2,19.2,357,1.8,85.1,7.4,3.1,18.1
Small engine mechanics,38,–,–,–,–,–,41,–,–,–,–,–,51,2.2,88.8,7.9,2.0,6.6,248,1.2,88.4,5.4,2.4,19.1,191,0.8,93.7,3.7,0.8,19.1
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",97,4.2,81.4,11.1,1.7,30.5,90,3.2,93.9,4.5,0.1,22.7,81,4.5,89.9,5.4,1.7,21.0,43,–,–,–,–,–,48,–,–,–,–,–
Control and valve installers and repairers,19,–,–,–,–,–,26,–,–,–,–,–,18,–,–,–,–,–,84,2.8,87.9,9.3,1.4,19.5,84,1.2,89.8,7.1,2.1,27.7
"Heating, air conditioning, and refrigeration mechanics and installers",495,3.0,84.3,8.9,3.6,25.4,546,2.3,86.1,9.5,0.7,23.1,472,2.3,86.0,10.2,1.6,22.4,20,–,–,–,–,–,28,–,–,–,–,–
Home appliance repairers,34,–,–,–,–,–,41,–,–,–,–,–,46,–,–,–,–,–,445,1.5,82.0,11.1,3.4,25.3,450,1.5,81.5,12.1,3.1,21.7
Industrial and refractory machinery mechanics,373,4.4,82.5,10.2,2.6,20.2,416,3.9,81.7,9.9,5.5,18.9,401,3.1,86.6,8.9,2.4,17.3,49,–,–,–,–,–,38,–,–,–,–,–
"Maintenance and repair workers, general",725,5.1,81.2,10.3,3.2,23.2,672,4.7,79.6,12.2,3.6,24.0,646,5.4,82.1,11.7,2.8,23.0,429,5.1,87.9,6.1,3.4,19.6,399,5.2,86.1,9.5,2.5,14.5
"Maintenance workers, machinery",31,–,–,–,–,–,22,–,–,–,–,–,19,–,–,–,–,–,614,5.1,84.6,8.8,2.5,21.0,584,4.3,83.9,10.7,1.8,20.6
Millwrights,40,–,–,–,–,–,42,–,–,–,–,–,40,–,–,–,–,–,29,–,–,–,–,–,24,–,–,–,–,–
Electrical power-line installers and repairers,131,1.8,88.7,8.0,1.0,14.6,130,2.3,94.6,4.1,0.0,13.6,119,1.5,89.9,5.2,0.9,12.1,48,–,–,–,–,–,57,4.2,95.6,1.3,1.1,5.8
Telecommunications line installers and repairers,127,6.3,81.4,15.2,1.9,27.3,160,5.3,77.2,19.2,0.6,12.9,134,4.9,86.8,8.4,0.9,22.5,125,0.7,87.0,8.5,0.6,11.9,127,1.3,89.4,5.5,0.8,10.6
Precision instrument and equipment repairers,55,13.3,87.0,5.5,4.8,20.7,46,–,–,–,–,–,53,10.9,85.6,9.4,4.0,16.6,134,7.0,79.8,13.7,2.1,38.4,131,6.3,83.4,12.0,0.9,22.4
Wind turbine service technicians,8,–,–,–,–,–,7,–,–,–,–,–,9,–,–,–,–,–,68,12.9,67.9,17.2,10.6,20.0,73,16.2,72.9,12.8,9.8,5.9
"Coin, vending, and amusement machine servicers and repairers",36,–,–,–,–,–,33,–,–,–,–,–,37,–,–,–,–,–,11,–,–,–,–,–,5,–,–,–,–,–
Commercial divers,6,–,–,–,–,–,1,–,–,–,–,–,3,–,–,–,–,–,29,–,–,–,–,–,29,–,–,–,–,–
Locksmiths and safe repairers,44,–,–,–,–,–,29,–,–,–,–,–,19,–,–,–,–,–,2,–,–,–,–,–,6,–,–,–,–,–
Manufactured building and mobile home installers,7,–,–,–,–,–,5,–,–,–,–,–,4,–,–,–,–,–,30,–,–,–,–,–,28,–,–,–,–,–
Riggers,12,–,–,–,–,–,14,–,–,–,–,–,10,–,–,–,–,–,1,–,–,–,–,–,5,–,–,–,–,–
"Helpers--installation, maintenance, and repair workers",23,–,–,–,–,–,18,–,–,–,–,–,15,–,–,–,–,–,6,–,–,–,–,–,7,–,–,–,–,–
"Other installation, maintenance, and repair workers",225,6.3,82.6,15.3,0.8,28.9,190,4.1,85.0,6.9,3.6,33.5,173,7.7,89.6,3.5,1.5,21.8,19,–,–,–,–,–,16,–,–,–,–,–
,,,,,,,,,,,,,,,,,,,182,10.6,87.7,7.7,1.3,27.0,183,5.5,84.2,8.5,3.0,30.4
"Production, transportation, and material moving occupations","19,873",24.5,73.2,17.6,5.1,26.0,"19,986",24.9,73.2,17.8,4.8,25.1,"20,082",25.1,72.7,18.2,5.0,24.3,,,,,,,,,,,,
Production occupations,"7,944",28.8,76.1,14.2,5.7,25.5,"8,280",29.9,76.1,14.7,5.4,25.6,"8,256",29.8,75.3,15.0,5.9,24.3,"19,309",24.3,74.0,17.3,4.7,23.7,"18,215",23.7,74.6,16.7,4.8,23.8
First-line supervisors of production and operating workers,767,23.6,80.0,12.5,4.6,18.7,776,23.5,76.7,14.0,6.4,18.5,799,22.7,76.6,14.9,5.3,18.3,"7,950",28.3,77.6,13.3,5.5,24.0,"7,590",28.3,77.8,13.1,5.6,23.6
"Aircraft structure, surfaces, rigging, and systems assemblers",2,–,–,–,–,–,10,–,–,–,–,–,6,–,–,–,–,–,767,19.5,80.7,12.8,3.2,17.6,748,19.0,79.5,13.7,4.2,17.7
"Electrical, electronics, and electromechanical assemblers",115,54.9,55.5,16.0,24.4,19.4,114,45.9,60.0,24.8,14.9,24.9,102,49.3,67.5,13.5,18.7,25.1,6,–,–,–,–,–,4,–,–,–,–,–
Engine and other machine assemblers,7,–,–,–,–,–,15,–,–,–,–,–,8,–,–,–,–,–,110,41.9,68.9,10.0,15.9,15.8,91,42.2,59.5,12.4,18.0,17.2
Structural metal fabricators and fitters,22,–,–,–,–,–,22,–,–,–,–,–,20,–,–,–,–,–,7,–,–,–,–,–,7,–,–,–,–,–
Other assemblers and fabricators,899,35.9,70.2,18.8,8.0,25.6,"1,048",37.1,67.8,21.3,7.3,25.5,"1,047",37.5,66.0,21.5,7.7,23.9,13,–,–,–,–,–,21,–,–,–,–,–
Bakers,243,67.1,84.0,8.6,4.6,33.9,233,65.5,80.2,7.4,5.6,37.1,230,63.6,77.5,10.0,8.5,31.7,957,34.1,70.2,18.5,7.6,21.9,872,32.7,69.0,18.7,8.1,20.7
"Butchers and other meat, poultry, and fish processing workers",239,20.0,65.5,21.4,6.3,30.1,243,27.6,72.0,16.3,7.3,36.6,252,25.4,70.7,18.3,7.5,33.2,229,64.8,81.2,11.1,3.5,32.7,235,64.1,77.0,11.8,6.7,26.9
"Food and tobacco roasting, baking, and drying machine operators and tenders",12,–,–,–,–,–,8,–,–,–,–,–,9,–,–,–,–,–,246,19.4,75.3,15.4,4.6,39.7,266,25.7,75.1,16.2,5.5,40.1
Food batchmakers,98,56.4,77.4,14.8,2.4,29.9,79,55.7,80.7,14.7,3.6,32.3,94,58.1,77.6,12.7,5.1,24.7,9,–,–,–,–,–,10,–,–,–,–,–
Food cooking machine operators and tenders,13,–,–,–,–,–,10,–,–,–,–,–,13,–,–,–,–,–,93,48.7,84.3,9.5,2.4,29.2,94,56.8,86.9,7.2,2.8,27.6
"Food processing workers, all other",133,32.3,70.0,15.1,8.4,39.4,140,27.3,69.6,22.1,3.1,39.9,142,36.4,66.6,17.4,6.2,38.6,8,–,–,–,–,–,13,–,–,–,–,–
Computer numerically controlled tool operators and programmers,91,4.6,87.4,0.6,6.4,16.3,100,7.8,82.2,6.8,6.1,23.3,78,10.3,80.0,9.9,6.9,22.4,144,43.9,73.9,16.3,5.6,33.9,125,36.9,71.4,17.9,7.1,36.0
"Forming machine setters, operators, and tenders, metal and plastic",22,–,–,–,–,–,34,–,–,–,–,–,30,–,–,–,–,–,90,8.1,83.8,7.2,4.1,7.4,105,9.0,88.9,7.3,3.3,14.5
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",52,8.6,75.8,18.3,4.8,23.0,74,7.0,88.9,8.2,0.7,21.7,60,13.7,82.1,13.4,0.0,17.8,25,–,–,–,–,–,28,–,–,–,–,–
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",40,–,–,–,–,–,38,–,–,–,–,–,25,–,–,–,–,–,70,26.4,86.9,9.1,0.0,14.3,72,15.0,78.0,18.7,2.7,22.8
"Other machine tool setters, operators, and tenders, metal and plastic",7,–,–,–,–,–,6,–,–,–,–,–,13,–,–,–,–,–,32,–,–,–,–,–,41,–,–,–,–,–
Machinists,281,4.8,83.1,6.8,7.1,12.6,307,6.3,82.9,6.0,7.5,13.3,313,6.8,88.2,5.7,3.5,13.0,8,–,–,–,–,–,7,–,–,–,–,–
"Metal furnace operators, tenders, pourers, and casters",15,–,–,–,–,–,16,–,–,–,–,–,18,–,–,–,–,–,323,3.4,88.2,5.8,3.3,17.9,290,5.8,91.7,4.1,3.1,13.2
"Model makers and patternmakers, metal and plastic",1,–,–,–,–,–,4,–,–,–,–,–,0,–,–,–,–,–,17,–,–,–,–,–,21,–,–,–,–,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",24,–,–,–,–,–,29,–,–,–,–,–,20,–,–,–,–,–,1,–,–,–,–,–,8,–,–,–,–,–
Tool and die makers,36,–,–,–,–,–,39,–,–,–,–,–,40,–,–,–,–,–,29,–,–,–,–,–,35,–,–,–,–,–
"Welding, soldering, and brazing workers",592,6.0,82.2,9.5,3.0,26.7,559,5.8,82.6,11.1,2.3,26.4,550,5.1,82.7,10.2,2.9,25.5,43,–,–,–,–,–,37,–,–,–,–,–
Other metal workers and plastic workers,305,20.3,76.1,11.9,7.6,22.4,361,20.8,73.8,16.0,7.5,21.1,387,20.3,71.0,16.1,8.6,22.2,555,3.5,84.6,9.8,2.4,22.5,520,3.8,86.9,7.4,2.7,23.1
Prepress technicians and workers,19,–,–,–,–,–,15,–,–,–,–,–,21,–,–,–,–,–,335,22.0,74.6,15.8,5.9,27.7,341,22.2,75.2,16.7,4.6,26.0
Printing press operators,132,25.4,84.7,10.2,4.5,24.3,148,24.7,80.9,14.7,3.8,22.0,151,29.0,76.3,13.2,5.5,21.6,17,–,–,–,–,–,13,–,–,–,–,–
Print binding and finishing workers,15,–,–,–,–,–,13,–,–,–,–,–,7,–,–,–,–,–,143,15.2,75.1,14.5,5.8,22.2,128,19.7,83.7,7.3,5.8,18.4
Laundry and dry-cleaning workers,111,76.8,62.5,27.4,4.5,33.9,121,74.5,76.6,13.0,5.3,44.4,115,70.5,68.9,20.4,10.0,37.2,8,–,–,–,–,–,17,–,–,–,–,–
"Pressers, textile, garment, and related materials",25,–,–,–,–,–,28,–,–,–,–,–,21,–,–,–,–,–,116,67.1,61.6,26.4,8.6,32.3,120,71.5,58.0,25.6,10.0,26.7
Sewing machine operators,114,74.2,74.5,14.7,2.7,40.1,129,70.7,82.7,10.9,4.4,41.1,131,69.9,73.6,14.0,7.7,32.4,17,–,–,–,–,–,25,–,–,–,–,–
Shoe and leather workers,10,–,–,–,–,–,13,–,–,–,–,–,11,–,–,–,–,–,120,71.1,85.3,6.9,3.9,46.1,131,66.7,73.5,12.6,10.8,36.9
"Tailors, dressmakers, and sewers",65,77.0,73.3,15.0,10.0,25.9,51,81.4,79.9,6.3,12.5,28.6,58,78.2,72.8,6.6,18.0,19.4,18,–,–,–,–,–,12,–,–,–,–,–
"Textile machine setters, operators, and tenders",20,–,–,–,–,–,21,–,–,–,–,–,19,–,–,–,–,–,58,86.5,58.5,10.6,25.8,19.5,64,84.2,66.7,3.9,28.5,22.3
Upholsterers,18,–,–,–,–,–,17,–,–,–,–,–,18,–,–,–,–,–,12,–,–,–,–,–,16,–,–,–,–,–
"Other textile, apparel, and furnishings workers",8,–,–,–,–,–,14,–,–,–,–,–,19,–,–,–,–,–,20,–,–,–,–,–,24,–,–,–,–,–
Cabinetmakers and bench carpenters,43,–,–,–,–,–,60,5.5,91.6,3.3,0.7,16.4,71,10.3,97.3,2.2,0.0,30.6,14,–,–,–,–,–,13,–,–,–,–,–
Furniture finishers,17,–,–,–,–,–,16,–,–,–,–,–,14,–,–,–,–,–,67,5.8,94.2,4.7,0.0,21.8,50,7.8,91.5,6.4,1.3,27.2
"Sawing machine setters, operators, and tenders, wood",21,–,–,–,–,–,23,–,–,–,–,–,27,–,–,–,–,–,11,–,–,–,–,–,13,–,–,–,–,–
"Woodworking machine setters, operators, and tenders, except sawing",14,–,–,–,–,–,28,–,–,–,–,–,15,–,–,–,–,–,26,–,–,–,–,–,28,–,–,–,–,–
Other woodworkers,27,–,–,–,–,–,27,–,–,–,–,–,25,–,–,–,–,–,16,–,–,–,–,–,13,–,–,–,–,–
"Power plant operators, distributors, and dispatchers",40,–,–,–,–,–,46,–,–,–,–,–,23,–,–,–,–,–,22,–,–,–,–,–,23,–,–,–,–,–
Stationary engineers and boiler operators,96,6.2,77.3,18.7,3.8,17.5,73,7.1,83.5,11.2,3.1,16.5,85,3.3,77.9,12.4,6.5,13.8,32,–,–,–,–,–,41,–,–,–,–,–
Water and wastewater treatment plant and system operators,107,8.0,90.1,8.3,0.1,15.6,89,7.3,84.5,11.5,0.0,12.7,93,6.7,88.1,8.8,0.6,11.0,66,7.9,72.4,10.8,13.4,14.3,56,10.6,77.5,14.4,4.9,10.7
Miscellaneous plant and system operators,48,–,–,–,–,–,37,–,–,–,–,–,38,–,–,–,–,–,99,9.6,85.6,7.2,2.6,8.9,112,11.0,88.9,8.4,0.9,8.6
